"","Bac_OTU","Domain","Phylum","Class","Order","Family","Bac_Family_Mean"
"76","OTU487","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Intrasporangiaceae",0.00263938507436255
"66","OTU410","Bacteria","Pseudomonadota","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria",0.00234138998532161
"86","OTU629","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",0.00225624853130992
"99","OTU919","Bacteria","Bacteroidota","Bacteroidia","uncl_Bacteroidia","uncl_Bacteroidia",0.00191568271526314
"95","OTU800","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae",0.00187311198825729
"89","OTU657","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",0.0017879705342456
"50","OTU3138","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","uncl_Micrococcales",0.00140483399119297
"88","OTU643","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Mycobacteriaceae",0.00136226326418712
"15","OTU1668","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae",0.00123455108316958
"93","OTU743","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","uncl_Solirubrobacterales",0.00110683890215204
"29","OTU2283","Bacteria","Bacillota","Bacilli","Caryophanales","Paenibacillaceae",0.00102169744814034
"4","OTU1150","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae",0.000808843813111103
"3","OTU1072","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptoniphilaceae",0.00051084872407017
"16","OTU1669","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae",0.00051084872407017
"47","OTU2997","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",0.00051084872407017
"5","OTU1174","Bacteria","Bacillota","Bacilli","Lactobacillales","Aerococcaceae",0.000468277997064323
"51","OTU315","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","uncl_Eggerthellales",0.000468277997064323
"59","OTU3728","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae",0.000468277997064323
"100","OTU989","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae",0.000425707270058475
"10","OTU1388","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",0.00034056581604678
"91","OTU726","Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae",0.00034056581604678
"37","OTU2507","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae",0.000297995089040933
"27","OTU2180","Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae",0.000212853635029238
"56","OTU3664","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae",0.000212853635029238
"60","OTU3749","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Boseaceae",0.000212853635029238
"72","OTU4504","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillales_Incertae Sedis X",0.000212853635029238
"14","OTU1665","Bacteria","Bacillota","Bacilli","Caryophanales","Caryophanaceae",0.00017028290802339
"44","OTU2798","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Lawsonellaceae",0.00017028290802339
"58","OTU3673","Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",0.00017028290802339
"24","OTU2052","Bacteria","Actinomycetota","Coriobacteriia","uncl_Coriobacteriia","uncl_Coriobacteriia",0.000127712181017543
"33","OTU2342","Bacteria","Actinomycetota","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria",0.000127712181017543
"68","OTU4150","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","uncl_Longimicrobiales",0.000127712181017543
"30","OTU2284","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae",8.5141454011695e-05
"75","OTU4730","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae",8.5141454011695e-05
