"","Bac_OTU","Domain","Phylum","Class","Order","Family","Genus","Bac_Genus_Mean"
"72","OTU35","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae",16.9007150229492
"3","OTU1066","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","uncl_Erysipelotrichaceae",9.16038118525859
"64","OTU3195","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales",8.18862329447188
"114","OTU642","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",8.10616689100124
"119","OTU7","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","uncl_Muribaculaceae",7.08865613781294
"85","OTU44","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae",4.06621445372791
"29","OTU2130","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia",3.86754071719985
"53","OTU29","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","uncl_Prevotellaceae",2.72612387191983
"103","OTU4852","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum",2.67821942262799
"37","OTU24","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",2.49292982219666
"106","OTU55","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",2.49277161727826
"7","OTU1244","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",2.41999735481376
"21","OTU1915","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",2.05460727527466
"31","OTU22","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","uncl_Coriobacteriales","uncl_Coriobacteriales",2.05293030313961
"4","OTU11","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Ileibacterium",2.02695305553815
"59","OTU31","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",1.95190064224869
"12","OTU1495","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Romboutsia",1.93475122909401
"27","OTU21","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",1.90731849624327
"17","OTU18","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum",1.42615405741826
"132","OTU89","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",1.33999565885704
"51","OTU28","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Dorea",1.13828438789568
"124","OTU77","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia",1.11262355013103
"34","OTU2241","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae 1","Clostridium sensu stricto",1.00640476791655
"113","OTU61","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Flintibacter",1.00320902856485
"108","OTU58","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Turicibacteraceae","Turicibacter",0.903255161119053
"116","OTU65","Bacteria","Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota","uncl_Bacteroidota",0.838612631460377
"130","OTU86","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Lawsonibacter",0.824975367494205
"118","OTU69","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Vescimonas",0.639812330997596
"79","OTU41","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","uncl_Desulfovibrionaceae",0.593458289906083
"11","OTU148","Bacteria","Bacillota","Clostridia","Eubacteriales","uncl_Eubacteriales","uncl_Eubacteriales",0.51884885038814
"123","OTU74","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Thomasclavelia",0.510812040533366
"135","OTU95","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",0.509799529055599
"107","OTU57","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella",0.495561086399503
