"","Bac_OTU","Domain","Phylum","Class","Bac_Class_Mean"
"1","OTU1","Bacteria","Bacillota","Bacilli",27.6399810645406
"4","OTU19","Bacteria","Bacillota","Clostridia",24.2586733599202
"8","OTU23","Bacteria","Bacteroidota","Bacteroidia",22.5018645978429
"5","OTU2","Bacteria","Bacillota","Erysipelotrichia",16.6847450354018
"18","OTU5","Bacteria","Verrucomicrobiota","Verrucomicrobiia",1.64761484730732
"23","OTU9","Bacteria","Mycoplasmatota","Mollicutes",1.15545467239271
"15","OTU41","Bacteria","Pseudomonadota","Deltaproteobacteria",1.14302402010701
"10","OTU25","Bacteria","Pseudomonadota","Betaproteobacteria",0.984235208375195
"19","OTU63","Bacteria","Bacteroidota","uncl_Bacteroidota",0.849796852490728
"2","OTU127","Bacteria","Bacillota","uncl_Bacillota",0.8270215135426
"22","OTU87","Bacteria","Pseudomonadota","Gammaproteobacteria",0.614125307786356
"9","OTU24","Bacteria","Actinomycetota","Actinobacteria",0.508762758446884
"17","OTU47","Bacteria","Campylobacterota","Campylobacteria",0.475515020655317
"21","OTU77","Bacteria","Actinomycetota","Coriobacteriia",0.405656457638721
"3","OTU188","Bacteria","Pseudomonadota","Alphaproteobacteria",0.131884112264116
"7","OTU224","Bacteria","Candidatus Saccharibacteria","uncl_Candidatus Saccharibacteria",0.0475089313385258
"11","OTU275","Bacteria","Deinococcota","Deinococci",0.0431241464569235
"6","OTU217","Bacteria","Bacteroidota","Flavobacteriia",0.0413787466496838
"12","OTU323","Bacteria","Bacillota","Negativicutes",0.0193696807876606
"13","OTU367","Bacteria","Fusobacteriota","Fusobacteriia",0.0110258182945145
"14","OTU394","Bacteria","Pseudomonadota","uncl_Pseudomonadota",0.00800329667709933
"20","OTU743","Bacteria","Actinomycetota","Thermoleophilia",0.00110683890215204
"16","OTU4150","Bacteria","Gemmatimonadota","Longimicrobia",0.000127712181017543
