"","Bac_OTU","Domain","Phylum","Class","Order","Family","Genus","Bac_Genus_Mean"
"41","OTU2180","Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Alloiococcus",0.000212853635029238
"71","OTU2933","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",0.000212853635029238
"90","OTU3664","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Aureimonas",0.000212853635029238
"94","OTU3749","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Boseaceae","Bosea",0.000212853635029238
"114","OTU4504","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillales_Incertae Sedis X","Thermicanus",0.000212853635029238
"18","OTU1665","Bacteria","Bacillota","Bacilli","Caryophanales","Caryophanaceae","Sporosarcina",0.00017028290802339
"23","OTU1736","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella",0.00017028290802339
"66","OTU2798","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Lawsonellaceae","Lawsonella",0.00017028290802339
"77","OTU3105","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Nitratireductor",0.00017028290802339
"92","OTU3673","Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",0.00017028290802339
"98","OTU3966","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.00017028290802339
"6","OTU1124","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium",0.000127712181017543
"35","OTU2052","Bacteria","Actinomycetota","Coriobacteriia","uncl_Coriobacteriia","uncl_Coriobacteriia","uncl_Coriobacteriia",0.000127712181017543
"49","OTU2342","Bacteria","Actinomycetota","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria",0.000127712181017543
"50","OTU2357","Bacteria","Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",0.000127712181017543
"84","OTU3451","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",0.000127712181017543
"106","OTU4150","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","uncl_Longimicrobiales","uncl_Longimicrobiales",0.000127712181017543
"30","OTU1926","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Rathayibacter",8.5141454011695e-05
"46","OTU2284","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylorubrum",8.5141454011695e-05
"102","OTU4057","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles",8.5141454011695e-05
"115","OTU4523","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter",8.5141454011695e-05
"120","OTU4730","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",8.5141454011695e-05
"121","OTU4778","Bacteria","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia",8.5141454011695e-05
