"","Bac_OTU","Domain","Phylum","Bac_Phylum_Mean"
"1","OTU1066","Bacteria","Bacillota",59.3654780414737
"9","OTU7","Bacteria","Bacteroidota",28.7424797292038
"5","OTU24","Bacteria","Actinomycetota",6.42846701332528
"3","OTU2130","Bacteria","Verrucomicrobiota",3.86754071719985
"6","OTU41","Bacteria","Pseudomonadota",1.4021069098213
"8","OTU47","Bacteria","Campylobacterota",0.0981503313760221
"4","OTU224","Bacteria","Candidatus Saccharibacteria",0.0647058116260365
"2","OTU195","Bacteria","Mycoplasmatota",0.022971354151835
"10","OTU894","Bacteria","Cyanobacteriota",0.0073090672301293
"7","OTU4509","Bacteria","Acidobacteriota",0.000791024592005336
