"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU161","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU252","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU101","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales"
"OTU559","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU4525","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","uncl_Muribaculaceae","uncl_Muribaculaceae"
"OTU157","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU48","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales"
"OTU210","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","uncl_Eggerthellaceae","uncl_Eggerthellaceae"
"OTU185","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU203","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU61","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Flintibacter","uncl_Flintibacter"
"OTU4827","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU4806","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU2814","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Sporofaciens","musculi"
"OTU227","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","uncl_Muribaculaceae","uncl_Muribaculaceae"
"OTU168","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU328","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU18","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","intestinale"
"OTU141","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU272","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU3506","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU41","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","uncl_Desulfovibrionaceae","uncl_Desulfovibrionaceae"
"OTU178","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU2053","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Neglecta","uncl_Neglecta"
"OTU127","Bacteria","Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota"
"OTU206","Bacteria","Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota"
"OTU142","Bacteria","Bacillota","Clostridia","uncl_Clostridia","uncl_Clostridia","uncl_Clostridia","uncl_Clostridia"
"OTU761","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU163","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU852","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU944","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU44","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU150","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU45","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU1149","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU273","Bacteria","Bacillota","Clostridia","Eubacteriales","uncl_Eubacteriales","uncl_Eubacteriales","uncl_Eubacteriales"
"OTU31","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","uncl_Alistipes"
"OTU387","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU15","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","uncl_Muribaculaceae","uncl_Muribaculaceae"
"OTU309","Bacteria","Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota","uncl_Bacillota"
"OTU914","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU139","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Vescimonas","uncl_Vescimonas"
"OTU245","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","splanchnicus"
"OTU4708","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU426","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","uncl_Erysipelotrichales","uncl_Erysipelotrichales","uncl_Erysipelotrichales"
"OTU125","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU188","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","uncl_Rhodospirillales","uncl_Rhodospirillales","uncl_Rhodospirillales"
"OTU187","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU3207","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU3979","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU1025","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU3701","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU43","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","uncl_Desulfovibrio"
"OTU80","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales"
"OTU182","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU112","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","caecimuris"
"OTU159","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU462","Bacteria","Bacillota","Clostridia","uncl_Clostridia","uncl_Clostridia","uncl_Clostridia","uncl_Clostridia"
"OTU105","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU3299","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU226","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU25","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","uncl_Sutterellaceae","uncl_Sutterellaceae"
"OTU86","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Lawsonibacter","uncl_Lawsonibacter"
"OTU239","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","mastomyrinus"
"OTU90","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales","uncl_Bacteroidales"
"OTU204","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU172","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU425","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU238","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU198","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU100","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU291","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","uncl_Oscillospiraceae","uncl_Oscillospiraceae"
"OTU2352","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","uncl_Lachnospiraceae","uncl_Lachnospiraceae"
"OTU135","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","caecicola"
